u,v,key,osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,access,tunnel,bridge,width
252835332,1316236316,0,"[258237576, 23661426, 23646579]","['1', '3']",玉川通り,"['trunk', 'trunk_link']",True,False,716.5600000000001,"LINESTRING (139.6974 35.6560881, 139.6969477 35.6560013, 139.69515 35.6555619, 139.69504 35.6555271, 139.6949513 35.6554882, 139.6948707 35.6554418, 139.6947894 35.6553882, 139.6947216 35.6553303, 139.6946607 35.6552622, 139.6943356 35.654853, 139.6940962 35.6545709, 139.6939755 35.6544278, 139.6938464 35.6542959, 139.6937235 35.6541831, 139.6935845 35.6540692, 139.6934361 35.6539672, 139.6932408 35.6538543, 139.6930603 35.6537698, 139.6928677 35.6536841, 139.692665 35.6536135, 139.6923612 35.6535134, 139.6910999 35.6531457, 139.6907321 35.6530419)",246,,,yes,,
252835332,381063833,0,"[1071659161, 1033547242, 311740423]","['1', '2']",(道玄坂上),trunk_link,True,False,219.30400000000003,"LINESTRING (139.6974 35.6560881, 139.6969184 35.6560513, 139.6955219 35.6557179, 139.6954449 35.655699, 139.6953572 35.655694, 139.6952793 35.6557085, 139.6952332 35.655751, 139.6951214 35.6558551)",,,,,,
252835332,598965308,0,915103111,,,tertiary,False,False,51.852,"LINESTRING (139.6974 35.6560881, 139.6974393 35.6560007, 139.6974671 35.6559602, 139.6976361 35.6557142, 139.6976607 35.6556737)",,,,,,
252835340,2360725239,0,227383684,,,tertiary,False,False,23.549,"LINESTRING (139.6882512 35.6522309, 139.6881399 35.6524224)",,,,,,
252835340,981888120,0,262007622,3,玉川通り,trunk,True,False,109.81599999999999,"LINESTRING (139.6882512 35.6522309, 139.6876548 35.6520326, 139.6872893 35.6519009, 139.6871312 35.6518476)",246,,yes,,,
252835340,2067979923,0,1093899438,4,山手通り,primary,False,True,33.424,"LINESTRING (139.6882512 35.6522309, 139.6882907 35.652164, 139.6884587 35.6519834)",317,,,,,
253890308,728435688,0,23443810,3,玉川通り,trunk,True,False,25.154,"LINESTRING (139.703173 35.657964, 139.7029035 35.6579072)",246,60,,,,
253890308,196971409,0,265346006,4,明治通り,primary,True,False,22.808,"LINESTRING (139.703173 35.657964, 139.703018 35.6581259)",305,50,,,,
253890308,10219242888,0,"[1117318760, 1117318761, 1117318750]",1,玉川通り,trunk_link,True,False,217.06,"LINESTRING (139.703173 35.657964, 139.7029383 35.6579869, 139.7027729 35.6579459, 139.7025656 35.6578808, 139.7021706 35.6577398, 139.7017377 35.6575927, 139.7011564 35.6573914, 139.7009365 35.6573166)",246,60,,yes,,
256000461,686510420,0,1117318757,3,玉川通り,trunk,True,False,229.694,"LINESTRING (139.7009122 35.6572202, 139.6985582 35.65644)",246,,yes,,,
256000461,10219242889,0,1256773488,2,神宮通り,tertiary,True,False,9.081,"LINESTRING (139.7009122 35.6572202, 139.7008727 35.6572953)",,,,,,
256000461,742560941,0,156167860,1,間坂,unclassified,True,False,155.792,"LINESTRING (139.7009122 35.6572202, 139.7007966 35.6571198, 139.7008182 35.6570714, 139.7008165 35.6570444, 139.7008063 35.6570202, 139.7006305 35.6568189, 139.7003486 35.6565956, 139.7003253 35.6565613, 139.7003049 35.6565132, 139.7002904 35.6564771, 139.7002719 35.6564352, 139.7002292 35.6563757, 139.7001837 35.6563261, 139.7000088 35.6561658, 139.6999513 35.6561068)",,30,,,,
256180207,2138385688,0,23673079,2,六本木通り,secondary,True,False,53.108000000000004,"LINESTRING (139.7037968 35.6582221, 139.7042411 35.658262, 139.7043812 35.6582735)",412,,,,,
256180207,1251060624,0,172125350,2,青山通り(金王坂),trunk,True,False,83.117,"LINESTRING (139.7037968 35.6582221, 139.7041799 35.6583249, 139.7042802 35.6583754, 139.7045309 35.6586271)",246,60,yes,,,
256180209,517547875,0,207001228,,美竹通り,tertiary,False,True,62.976,"LINESTRING (139.706007 35.6601988, 139.7058803 35.660336, 139.7054921 35.6605735)",,,,,,
256180209,2397979255,0,852978901,,宮益坂,tertiary,False,True,58.998,"LINESTRING (139.706007 35.6601988, 139.7057043 35.6601469, 139.7053749 35.6600673)",,40,,,,
256186110,981888120,0,923367587,,,tertiary,False,True,22.267,"LINESTRING (139.6870317 35.6520308, 139.6871312 35.6518476)",,,,,,
256186110,2360725239,0,923367588,4,玉川通り,trunk,True,False,109.188,"LINESTRING (139.6870317 35.6520308, 139.6881399 35.6524224)",246,,yes,,,
256186110,981888118,0,84514277,2,大橋通り,tertiary,False,False,31.929,"LINESTRING (139.6870317 35.6520308, 139.6870093 35.6520691, 139.6869671 35.6521419, 139.6868804 35.6522903)",,,,,,
256368886,1490098391,0,32622972,,山手通り,primary,True,False,24.700000000000003,"LINESTRING (139.6895341 35.6528464, 139.6895287 35.6529415, 139.6895216 35.6530683)",317,60,,,,
256368891,318826081,0,1027433800,1,淡島通り,secondary,True,False,10.304,"LINESTRING (139.690166 35.6553606, 139.6902769 35.655339)",423,40,,,,
256368891,318826095,0,1027433801,,山手通り,primary,True,False,16.66,"LINESTRING (139.690166 35.6553606, 139.690197 35.655429, 139.6902287 35.6555015)",317,60,,,,
256368895,318826052,0,28993425,2,淡島通り,secondary,False,True,93.234,"LINESTRING (139.6926722 35.6547662, 139.6925485 35.654756, 139.6917548 35.654971, 139.6916875 35.6549892)",423,40,,,,
256368895,1496232758,0,136396048,,,residential,False,True,73.34899999999999,"LINESTRING (139.6926722 35.6547662, 139.6927887 35.6548013, 139.6929907 35.6549626, 139.6930363 35.6550192, 139.6930576 35.6550684, 139.6930869 35.6552758)",,,,,,
256368895,256368896,0,261996441,4,旧山手通り,primary,True,False,28.64,"LINESTRING (139.6926722 35.6547662, 139.6927844 35.6547187, 139.6928885 35.6545891)",317,50,,,,
256368895,1496232717,0,813227199,4,旧山手通り,primary,False,True,50.869,"LINESTRING (139.6926722 35.6547662, 139.6926078 35.6548584, 139.6923901 35.6551621)",317,50,,,,
256368896,256368898,0,23672833,1,玉川通り,trunk_link,True,False,78.114,"LINESTRING (139.6928885 35.6545891, 139.6930285 35.6545464, 139.6932095 35.6544989, 139.6933875 35.6544662, 139.6934762 35.6544621, 139.6935228 35.654468, 139.6936092 35.6544942, 139.6937008 35.6545495)",246,,yes,,,
